date,open,high,low,close,fetched_at
2025-03-21,1.08535,1.08613,1.07962,0.8111968009140238,2025-03-22T14:42:49.701944
2025-03-20,1.09045,1.09173,1.08143,0.8710368466152545,2025-03-22T14:42:49.701944
2025-03-19,1.09436,1.0946,1.08603,0.9415881176806629,2025-03-22T14:42:49.701944
2025-03-18,1.09214,1.09547,1.08921,1.0,2025-03-22T14:42:49.701944
2025-03-17,1.088,1.09297,1.0868,0.9671522422165086,2025-03-22T14:42:49.701944
2025-03-14,1.08515,1.09127,1.08304,0.9033133390459867,2025-03-22T14:42:49.701944
2025-03-13,1.08856,1.08972,1.08222,0.8668951728077694,2025-03-22T14:42:49.701944
2025-03-12,1.09111,1.09314,1.08754,0.9164524421593843,2025-03-22T14:42:49.701944
2025-03-11,1.08345,1.09472,1.08305,0.9525849757212228,2025-03-22T14:42:49.701944
2025-03-10,1.08392,1.08747,1.08048,0.8426163953156234,2025-03-22T14:42:49.701944
2025-03-07,1.0782,1.08888,1.07768,0.8369037417880598,2025-03-22T14:42:49.701944
2025-03-06,1.07864,1.08537,1.07655,0.7680662667809184,2025-03-22T14:42:49.701944
2025-03-05,1.06249,1.07968,1.06017,0.7762067980576983,2025-03-22T14:42:49.701944
2025-03-04,1.04849,1.06275,1.04708,0.5445586975149954,2025-03-22T14:42:49.701944
2025-03-03,1.04027,1.05036,1.03883,0.3451870894030282,2025-03-22T14:42:49.701944
2025-02-28,1.03966,1.042,1.03596,0.18666095401313676,2025-03-22T14:42:49.701944
2025-02-27,1.04834,1.04924,1.03965,0.21893744644387425,2025-03-22T14:42:49.701944
2025-02-26,1.05124,1.05289,1.04747,0.3421879463010562,2025-03-22T14:42:49.701944
2025-02-25,1.04664,1.05193,1.04559,0.382890602684947,2025-03-22T14:42:49.701944
2025-02-24,1.04768,1.05283,1.04524,0.31862325049985785,2025-03-22T14:42:49.701944
2025-02-21,1.05001,1.05054,1.0449,0.30262782062267846,2025-03-22T14:42:49.701944
2025-02-20,1.04217,1.05034,1.04183,0.3658954584404448,2025-03-22T14:42:49.701944
2025-02-19,1.0445,1.04613,1.04004,0.25449871465295537,2025-03-22T14:42:49.701944
2025-02-18,1.04833,1.04863,1.04348,0.28834618680376956,2025-03-22T14:42:49.701944
2025-02-17,1.04858,1.05062,1.04667,0.3427592116538136,2025-03-22T14:42:49.701944
2025-02-14,1.04625,1.05141,1.04469,0.35318480434161437,2025-03-22T14:42:49.701944
2025-02-13,1.03818,1.0467,1.03726,0.31433876035418606,2025-03-22T14:42:49.701944
2025-02-12,1.03605,1.04299,1.03168,0.19765781205370025,2025-03-22T14:42:49.701944
2025-02-11,1.03062,1.03815,1.02917,0.16623821765210067,2025-03-22T14:42:49.701944
2025-02-10,1.02886,1.03365,1.02808,0.08897457869180059,2025-03-22T14:42:49.701944
2025-02-07,1.03821,1.04124,1.03048,0.11710939731505121,2025-03-22T14:42:49.701944
2025-02-06,1.04019,1.04058,1.03521,0.1982290774064559,2025-03-22T14:42:49.701944
2025-02-05,1.0378,1.04425,1.03693,0.22579263067695088,2025-03-22T14:42:49.701944
2025-02-04,1.03427,1.03876,1.0272,0.19180234218794645,2025-03-22T14:42:49.701944
2025-02-03,1.0232,1.03499,1.02103,0.14138817480719723,2025-03-22T14:42:49.701944
2025-01-31,1.03879,1.0434,1.03496,0.16595258497572019,2025-03-22T14:42:49.701944
2025-01-30,1.04203,1.04679,1.03859,0.20494144530134228,2025-03-22T14:42:49.701944
2025-01-29,1.04296,1.04436,1.03821,0.25235646958012126,2025-03-22T14:42:49.701944
2025-01-28,1.04912,1.04932,1.04135,0.26535275635532685,2025-03-22T14:42:49.701944
2025-01-27,1.0479,1.05334,1.04536,0.3536132533561851,2025-03-22T14:42:49.701944
2025-01-24,1.04147,1.05214,1.04112,0.3540417023707523,2025-03-22T14:42:49.701944
2025-01-23,1.0408,1.0438,1.03717,0.2439303056269626,2025-03-22T14:42:49.701944
2025-01-22,1.04285,1.04573,1.03918,0.23379034561553702,2025-03-22T14:42:49.701944
2025-01-21,1.04156,1.04353,1.03419,0.2632105112824892,2025-03-22T14:42:49.701944
2025-01-20,1.02831,1.04342,1.02659,0.2449300199942872,2025-03-22T14:42:49.701944
2025-01-17,1.02965,1.03306,1.0265,0.038560411311053144,2025-03-22T14:42:49.701944
2025-01-16,1.0288,1.03151,1.02604,0.07854898600399984,2025-03-22T14:42:49.701944
2025-01-15,1.03074,1.03544,1.02588,0.06012567837760585,2025-03-22T14:42:49.701944
2025-01-14,1.02407,1.03086,1.02382,0.09083119108825954,2025-03-22T14:42:49.701944
2025-01-13,1.02402,1.025,1.01772,0.00014281633819024364,2025-03-22T14:42:49.701944
2025-01-10,1.0299,1.03118,1.02124,0.0,2025-03-22T14:42:49.701944
