iter	RMSE
0	0.4799078157
1	0.4701120821
2	0.4657586658
3	0.4634341864
4	0.4621288003
5	0.4616161452
6	0.461375934
7	0.4611870379
8	0.4610448782
9	0.4609558926
10	0.4609153977
11	0.4608307015
12	0.4607187871
13	0.4606814164
14	0.4605091003
15	0.4604092821
16	0.460200247
17	0.4601154777
18	0.4600193335
19	0.4599209439
20	0.4598214598
21	0.4597317443
22	0.4595737391
23	0.4594616083
24	0.4594146955
25	0.4591242014
26	0.4589297634
27	0.4587768651
28	0.4584367257
29	0.4581736216
30	0.4578915063
31	0.4577858884
32	0.4576408603
33	0.4575184112
34	0.4573792093
35	0.4573343514
36	0.4572474096
37	0.4570021573
38	0.456665814
39	0.4564323528
40	0.4562553422
41	0.4562153482
42	0.4561669538
43	0.4561068718
44	0.4560077139
45	0.4556711069
46	0.4555510723
47	0.4554884064
48	0.4553658051
49	0.4551004339
50	0.455046091
51	0.4549532481
52	0.4549017858
53	0.454787679
54	0.4546031047
55	0.4545729016
56	0.4544680061
57	0.4543294946
58	0.4541312051
59	0.4540419141
60	0.4538696444
61	0.4538422232
62	0.4537808325
63	0.453720822
64	0.4534841806
65	0.4534609425
66	0.4534312321
67	0.4532438765
68	0.4531593395
69	0.4531277137
70	0.4530596612
71	0.4530159061
72	0.4529676135
73	0.4527889434
74	0.4527663643
75	0.4527129175
76	0.4526862292
77	0.4526529829
78	0.4525218083
79	0.4524792423
80	0.4524416113
81	0.4523343099
82	0.4523043587
83	0.4522955001
84	0.4522675539
85	0.4522503959
86	0.4522076135
87	0.4522017005
88	0.4521336643
89	0.4521201118
90	0.4520101482
91	0.4519847388
92	0.4519647733
93	0.4519366347
94	0.4518269128
95	0.451666487
96	0.4516294254
97	0.4516172085
98	0.4515266888
99	0.4514433763
